Chapel Hill,Chapel hill Court house,NC,,122
Charleston,Custom House,SC,,123
Charlotte,First Ward Park,NC,,124
Charlottesville,Albemarle County Office Building,VA,,125
Chatham,Sidewalk in front of Town Hall,MA,,126
Chattanooga,Renaissance Park/Coolidge Park,TN,,127
Chicago,Richard J. Daley Center,IL,,128
Chico,City Plaza,CA,,129
Cincinnati,Washington Park,OH,,130
Claremont,Memorial Park,CA,,131
Clermont,Sunnyside Plaza,FL,,132
Cleveland,Market Square Park,OH,,133
Clifton,Main Memorial Park,NJ,,134
Cobleskill,Veterans Park,NY,,135
Coeur d'Alene,Picnic Shelter Riverstone Park,ID,,136
Colorado Springs,City Hall,CO,,137
Colrain,,MA,,138
Columbia,Boone County Courthouse,MO,,139
Columbia,South Carolina State House,SC,,140
Columbus,Ohio Statehouse,OH,,141
Columbus,the plaza in Colombus to the Puerto Palomas border crossing,NM,,142
Concord,Todos Santos Plaza,CA,,143
Concord,NH State House,NH,,144
Conway,Main Street,NH,,145
Conway,,NC,,146
Cookeville,Cookeville Town Square,TN,,147
Cooperstown,Cooperstown Pioneer Park on Main Street,NY,,148
Coos Bay,Coos Bay Boardwalk,OR,,149
Corpus Christi,Cole park,TX,,150
Cortland,Christ Community Church,NY,,151
Corvallis,,OR,,152
Coupeville,Island County Courthouse,WA,,153
Covington,St. Tammany Justice Center,LA,,154
Cranston,Slate Hill Park near the ACI,RI,,155
Crawfordville,ICE Detention Center,FL,,156
Cumberland,Corner of Baltimore and Liberty Streets,MD,,157
Dade City,Historic Downtown Courthouse,FL,,158
Dallas,Dallas City Hall,TX,,159
Dallas,outside ICE building near Stemmons Freeway,TX,,160
Dalton,parking lot of Delray Farms Fresh Market on East Walnut Avenue,GA,,161
Damariscotta,The Bridge at Newcastle And Damariscotta,ME,,162
Darlington,Darlington City Square (Courthouse),SC,,163
Dartmouth,in front of Bristol County Sheriff’s Office,MA,,164
Davenport,Vanderveer park,IA,,165
Davidson,Davidson Village Green,NC,,166
Dayton,Courthouse Square-Montgomery Co,OH,,167
Daytona Beach,Corner of International Speedway Blvd and Beach Street,FL,,168
Deep River,Town Hall,CT,,169
Deland,Corner of New York Ave & Woodland,FL,,170
Delaware,Bicentennial,OH,,171
